id,host_id,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,availability_30,number_of_reviews,host_listing_count,20-29,30-39,40-49,50-59,60-69,70-79,80-84,85-89,90-94,95-100,price,price_log
1349092,592384,11233,Apartment,Entire home/apt,3,1.0,2.0,1.0,Real Bed,7,30,5,1,0,0,0,0,0,0,0,0,0,1,99.0,4.59511985013459
455323,2263113,11222,House,Private room,2,1.5,1.0,1.0,Real Bed,2,30,5,1,0,0,0,0,0,0,0,0,0,1,100.0,4.605170185988092
3534065,1100494,10031,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,1,7,4,10,0,0,0,0,0,0,1,0,0,0,55.0,4.007333185232471
33656,145577,10003,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,4,30,15,1,0,0,0,0,0,0,0,0,0,1,199.0,5.293304824724492
1498016,7740108,11221,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,0,3,1,0,0,0,0,0,0,0,0,0,1,90.0,4.499809670330265
4227967,12689587,10014,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,3,0,1,1,0,0,0,0,1,0,0,0,0,0,89.0,4.48863636973214
3468545,3561780,11222,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,2,0,3,1,0,0,0,0,0,0,0,0,1,0,150.0,5.0106352940962555
1366966,7400422,10013,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,29,13,1,0,0,0,0,0,0,0,0,0,1,225.0,5.41610040220442
2997612,2350950,10009,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,3,30,5,2,0,0,0,0,0,0,0,1,0,0,115.0,4.74493212836325
114068,579064,10014,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,3,30,10,2,0,0,0,0,0,0,0,0,1,0,300.0,5.703782474656201
585003,2883153,10022,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,5,24,24,1,0,0,0,0,0,0,0,0,0,1,225.0,5.41610040220442
3100831,15442506,10031,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,1,28,11,3,0,0,0,0,0,0,0,0,1,0,75.0,4.31748811353631
1335146,7239685,11213,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,3,7,1,1,0,0,0,0,0,1,0,0,0,0,80.0,4.382026634673881
310694,1598325,10014,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,2,0,1,1,0,0,0,0,0,0,0,0,0,1,140.0,4.941642422609304
2145706,10468807,10039,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,30,9,1,0,0,0,0,0,0,0,0,1,0,80.0,4.382026634673881
2641749,9329676,11201,Loft,Entire home/apt,3,1.0,1.0,2.0,Real Bed,6,19,6,1,0,0,0,0,0,0,0,0,0,1,150.0,5.0106352940962555
2747712,14057749,10003,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,4,30,12,1,0,0,0,0,0,0,0,0,0,1,249.0,5.517452896464707
4715496,3703398,10011,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,2,30,1,1,0,0,0,0,0,0,0,0,0,1,150.0,5.0106352940962555
1498142,4699150,10018,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,3,0,2,1,0,0,0,0,0,0,0,0,1,0,145.0,4.976733742420574
2087970,10658486,10014,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,6,10,1,0,0,0,0,0,0,0,0,0,1,239.0,5.476463551931511
441860,2195782,11206,Loft,Private room,2,2.0,1.0,1.0,Real Bed,3,25,74,2,0,0,0,0,0,0,0,1,0,0,80.0,4.382026634673881
4112560,21338545,11238,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,7,28,2,1,0,0,0,0,0,0,0,0,1,0,90.0,4.499809670330265
3361370,1150937,11213,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,2,9,4,1,0,0,0,0,0,0,0,0,0,1,140.0,4.941642422609304
1359406,7378454,10036,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1,12,1,0,0,0,0,0,0,0,0,0,1,249.0,5.517452896464707
704047,2742518,10012,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,15,2,19,1,0,0,0,0,0,0,0,0,1,0,200.0,5.298317366548036
69628,349655,10010,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,8,2,1,0,0,0,0,0,0,0,0,0,1,225.0,5.41610040220442
1148020,6293746,11237,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,7,21,3,1,0,0,0,0,0,0,0,0,1,0,100.0,4.605170185988092
3189248,16167601,10014,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,0,3,1,0,0,0,0,0,0,0,0,1,0,180.0,5.19295685089021
296066,352965,11222,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,30,11,1,0,0,0,0,0,0,0,0,1,0,175.0,5.1647859739235145
811033,206618,10013,Loft,Entire home/apt,2,2.0,1.0,1.0,Real Bed,3,2,5,2,0,0,0,0,0,0,0,0,0,1,599.0,6.395261598115449
1138727,6246766,10019,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,2,29,25,1,0,0,0,0,0,0,0,0,1,0,175.0,5.1647859739235145
1830335,9574030,10029,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,4,7,2,0,0,0,0,0,0,0,1,0,0,78.0,4.356708826689592
458119,631640,11237,Apartment,Private room,1,1.5,1.0,1.0,Futon,2,30,2,1,0,0,0,0,0,0,0,0,0,1,89.0,4.48863636973214
483430,277625,10016,Apartment,Entire home/apt,2,1.0,1.0,1.0,Pull-out Sofa,6,27,8,1,0,0,0,0,0,0,0,0,1,0,180.0,5.19295685089021
711881,2544798,10032,Apartment,Private room,4,1.0,1.0,1.0,Real Bed,2,30,52,1,0,0,0,0,0,0,0,0,0,1,79.0,4.3694478524670215
2022612,10394967,10029,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,14,28,3,1,0,0,0,0,0,0,0,0,0,1,120.0,4.787491742782046
2277045,84528,11225,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,4,7,1,0,0,0,0,0,0,0,0,1,0,100.0,4.605170185988092
849970,3635728,10009,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,2,17,63,4,0,0,0,0,0,0,0,1,0,0,135.0,4.90527477843843
1895918,9850320,10037,Apartment,Shared room,2,1.0,1.0,1.0,Airbed,2,25,14,1,0,0,0,0,0,0,0,0,1,0,30.0,3.4011973816621555
519666,2557391,10029,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,15,4,1,0,0,0,0,0,0,0,1,0,0,79.0,4.3694478524670215
674896,2466468,10011,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,3,15,34,1,0,0,0,0,0,0,0,0,0,1,269.0,5.594711379601839
4424972,13607532,10019,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,30,3,1,0,0,0,0,0,0,0,0,0,1,125.0,4.8283137373023015
286838,1492339,10026,House,Private room,1,1.0,1.0,1.0,Pull-out Sofa,1,19,75,1,0,0,0,0,0,0,0,0,1,0,55.0,4.007333185232471
1466552,7112116,10019,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,29,7,2,0,0,0,0,0,0,0,0,0,1,149.0,5.003946305945459
3534379,17007027,10010,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,30,9,3,0,0,0,0,0,0,0,0,0,1,270.0,5.598421958998375
1859749,5122104,10457,House,Private room,4,1.0,1.0,2.0,Real Bed,2,22,26,9,0,0,0,0,0,0,0,1,0,0,45.0,3.8066624897703196
2028272,4363412,10011,Apartment,Entire home/apt,7,1.0,1.0,4.0,Real Bed,3,30,8,1,0,0,0,0,0,0,0,1,0,0,270.0,5.598421958998375
623962,3095054,11238,Apartment,Entire home/apt,6,1.0,2.0,4.0,Real Bed,5,9,5,3,0,0,0,0,0,0,0,0,0,1,120.0,4.787491742782046
704300,3616541,11216,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,4,30,15,2,0,0,0,0,0,0,0,0,1,0,150.0,5.0106352940962555
755069,3058042,11354,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,3,21,2,1,0,0,0,0,0,0,1,0,0,0,90.0,4.499809670330265
2515147,9585945,11221,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,4,2,3,1,0,0,0,0,0,0,0,0,1,0,90.0,4.499809670330265
3792238,17420756,10036,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,1,1,1,0,0,0,0,1,0,0,0,0,0,120.0,4.787491742782046
515456,888435,10026,Apartment,Entire home/apt,2,1.0,2.0,2.0,Real Bed,1,8,3,1,0,0,0,0,0,0,0,1,0,0,150.0,5.0106352940962555
3522446,17695423,10003,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,7,0,1,1,0,0,0,0,0,0,0,0,0,1,120.0,4.787491742782046
3442146,17345576,10026,Apartment,Shared room,3,1.0,1.0,1.0,Pull-out Sofa,1,27,16,1,0,0,0,0,0,0,0,0,1,0,150.0,5.0106352940962555
3996170,16908803,10026,Apartment,Shared room,2,1.0,1.0,1.0,Pull-out Sofa,1,0,11,2,0,0,0,0,0,0,0,0,0,1,64.0,4.1588830833596715
2539453,9688952,11385,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,29,2,1,0,0,0,0,0,0,0,0,0,1,60.0,4.0943445622221
2524658,1091832,11221,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,4,0,2,1,0,0,0,0,0,0,0,0,0,1,125.0,4.8283137373023015
4031992,20803777,10002,Apartment,Entire home/apt,11,1.0,4.0,5.0,Real Bed,4,20,5,3,0,0,0,0,0,0,0,1,0,0,275.0,5.616771097666572
2552636,68553,10030,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1,3,1,0,0,0,0,0,0,1,0,0,0,120.0,4.787491742782046
2554357,1096771,10016,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,1,1,24,1,0,0,0,0,0,0,1,0,0,0,200.0,5.298317366548036
2686002,13749425,10022,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,2,0,39,1,0,0,0,0,0,0,0,0,1,0,85.0,4.442651256490317
3799568,19514978,10035,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,0,3,1,0,0,0,0,0,0,0,1,0,0,63.0,4.143134726391533
4423178,22960668,11237,Apartment,Private room,1,2.5,1.0,1.0,Real Bed,1,23,4,2,0,0,0,0,0,0,0,0,0,1,49.0,3.8918202981106265
3895289,20156576,11222,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,5,0,1,1,0,0,0,0,0,0,0,0,0,1,50.0,3.912023005428146
980098,5364702,10003,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,30,17,1,0,0,0,0,0,0,0,0,0,1,190.0,5.247024072160486
3404892,17171419,10033,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,1,28,1,2,0,0,0,0,0,0,1,0,0,0,69.0,4.23410650459726
3667915,1843216,10002,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,3,13,3,3,0,0,0,0,0,0,0,0,1,0,110.0,4.700480365792417
2619342,13413536,10013,Loft,Entire home/apt,8,2.0,3.0,3.0,Real Bed,3,12,30,2,0,0,0,0,0,0,0,0,0,1,549.0,6.3080984415095305
3799012,563851,11221,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,30,13,4,0,0,0,0,0,0,0,0,1,0,85.0,4.442651256490317
3920748,18801934,11217,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,30,3,1,0,0,0,0,0,0,0,0,1,0,80.0,4.382026634673881
2487464,12234879,10016,Apartment,Shared room,1,1.0,1.0,1.0,Real Bed,1,19,21,2,0,0,0,0,0,1,0,0,0,0,65.0,4.174387269895637
981479,314023,10128,Apartment,Entire home/apt,6,1.5,2.0,3.0,Real Bed,3,12,29,4,0,0,0,0,0,0,1,0,0,0,380.0,5.940171252720432
2618627,13410485,10029,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,5,0,5,1,0,0,0,0,0,0,0,0,0,1,140.0,4.941642422609304
4401366,22847363,10016,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,1,26,4,1,0,0,0,0,0,0,0,1,0,0,125.0,4.8283137373023015
455947,2266123,10037,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,30,41,2,0,0,0,0,0,0,0,0,0,1,98.0,4.584967478670572
